id    ,date,hs
0.75  ,NA  ,0.4875
1.5   ,NA  ,0.435
2.25  ,NA  ,0.39
3     ,NA  ,0.345
3.75  ,NA  ,0.3075
4.5   ,NA  ,0.27
5.25  ,NA  ,0.24
6     ,NA  ,0.21
6.75  ,NA  ,0.1875
7.5   ,NA  ,0.1725
8.25  ,NA  ,0.15
9     ,NA  ,0.1425
9.75  ,NA  ,0.135
10.5  ,NA  ,0.1275
11.25 ,NA  ,0.12
12    ,NA  ,0.12
12.75 ,NA  ,0.1125
13.5  ,NA  ,0.1125
14.25 ,NA  ,0.1125
15    ,NA  ,0.105
15.75 ,NA  ,0.0975
16.5  ,NA  ,0.09
17.25 ,NA  ,0.0825
18    ,NA  ,0.0825
18.75 ,NA  ,0.1125
19.5  ,NA  ,0.39
20.25 ,NA  ,0.4575
21    ,NA  ,0.5625
21.75 ,NA  ,0.6525
22.5  ,NA  ,0.6975
23.25 ,NA  ,0.6825
24    ,NA  ,0.6375
24.75 ,NA  ,0.6075
25.5  ,NA  ,0.57
26.25 ,NA  ,0.5475
27    ,NA  ,0.555
27.75 ,NA  ,0.615
28.5  ,NA  ,0.735
29.25 ,NA  ,0.84
30    ,NA  ,0.84
30.75 ,NA  ,0.7125
31.5  ,NA  ,0.63
32.25 ,NA  ,0.6
33    ,NA  ,0.495
33.75 ,NA  ,0.39
34.5  ,NA  ,0.3075
35.25 ,NA  ,0.24
36    ,NA  ,0.1875
36.75 ,NA  ,0.15
37.5  ,NA  ,0.1275
38.25 ,NA  ,0.0975
39    ,NA  ,0.0825
39.75 ,NA  ,0.0675
40.5  ,NA  ,0.06
41.25 ,NA  ,0.0525
42    ,NA  ,0.0525
42.75 ,NA  ,0.045
43.5  ,NA  ,0.0375
44.25 ,NA  ,0.03
45    ,NA  ,0.03
45.75 ,NA  ,0.0225
46.5  ,NA  ,0.0225
47.25 ,NA  ,0.015
48    ,NA  ,0.015
48.75 ,NA  ,0.015
49.5  ,NA  ,0.03
50.25 ,NA  ,0.0825
51    ,NA  ,0.7275
51.75 ,NA  ,1.14
52.5  ,NA  ,1.3725
53.25 ,NA  ,1.485
54    ,NA  ,1.425
54.75 ,NA  ,1.3125
55.5  ,NA  ,1.1925
56.25 ,NA  ,1.0125
57    ,NA  ,0.855
57.75 ,NA  ,0.75
58.5  ,NA  ,0.7125
59.25 ,NA  ,0.75
60    ,NA  ,0.8625
60.75 ,NA  ,1.095
61.5  ,NA  ,1.2
62.25 ,NA  ,1.0725
63    ,NA  ,0.975
63.75 ,NA  ,0.945
64.5  ,NA  ,0.9225
65.25 ,NA  ,0.8475
66    ,NA  ,0.7725
66.75 ,NA  ,0.6975
67.5  ,NA  ,0.63
68.25 ,NA  ,0.57
69    ,NA  ,0.5175
69.75 ,NA  ,0.4725
70.5  ,NA  ,0.45
71.25 ,NA  ,0.4275
72    ,NA  ,0.4125
72.75 ,NA  ,0.4125
73.5  ,NA  ,0.4125
74.25 ,NA  ,0.4125
75    ,NA  ,0.3975
75.75 ,NA  ,0.3825
76.5  ,NA  ,0.36
77.25 ,NA  ,0.3375
78    ,NA  ,0.315
78.75 ,NA  ,0.3
79.5  ,NA  ,0.2775
80.25 ,NA  ,0.255
81    ,NA  ,0.2325
81.75 ,NA  ,0.2175
82.5  ,NA  ,0.2025
83.25 ,NA  ,0.18
84    ,NA  ,0.165
84.75 ,NA  ,0.15
85.5  ,NA  ,0.1425
86.25 ,NA  ,0.135
87    ,NA  ,0.12
87.75 ,NA  ,0.1125
88.5  ,NA  ,0.105
89.25 ,NA  ,0.0975
90    ,NA  ,0.09
90.75 ,NA  ,0.0825
91.5  ,NA  ,0.075
92.25 ,NA  ,0.0675
93    ,NA  ,0.0675
93.75 ,NA  ,0.06
94.5  ,NA  ,0.0525
95.25 ,NA  ,0.06
96    ,NA  ,0.105
96.75 ,NA  ,0.15
97.5  ,NA  ,0.2325
98.25 ,NA  ,0.27
99    ,NA  ,0.27
99.75 ,NA  ,0.2475
100.5 ,NA  ,0.2175
101.25,NA  ,0.1875
102   ,NA  ,0.165
102.75,NA  ,0.1425
103.5 ,NA  ,0.1125
104.25,NA  ,0.09
105   ,NA  ,0.075
105.75,NA  ,0.0675
106.5 ,NA  ,0.0675
107.25,NA  ,0.0825
108   ,NA  ,0.09
108.75,NA  ,0.09
109.5 ,NA  ,0.3075
110.25,NA  ,0.405
111   ,NA  ,0.4275
111.75,NA  ,0.45
112.5 ,NA  ,0.4575
113.25,NA  ,0.48
114   ,NA  ,0.495
114.75,NA  ,0.5325
115.5 ,NA  ,0.5775
116.25,NA  ,0.6075
117   ,NA  ,0.6825
117.75,NA  ,0.7875
118.5 ,NA  ,0.885
119.25,NA  ,0.96
120   ,NA  ,1.065
120.75,NA  ,1.095
121.5 ,NA  ,1.0575
122.25,NA  ,1.035
123   ,NA  ,1.0875
123.75,NA  ,1.185
124.5 ,NA  ,1.1925
125.25,NA  ,1.0725
126   ,NA  ,0.93
126.75,NA  ,0.8025
127.5 ,NA  ,0.69
128.25,NA  ,0.6
129   ,NA  ,0.525
129.75,NA  ,0.4725
130.5 ,NA  ,0.4275
131.25,NA  ,0.39
132   ,NA  ,0.36
132.75,NA  ,0.345
133.5 ,NA  ,0.33
134.25,NA  ,0.33
135   ,NA  ,0.33
135.75,NA  ,0.3375
136.5 ,NA  ,0.3825
137.25,NA  ,0.4125
138   ,NA  ,0.51
138.75,NA  ,0.5625
139.5 ,NA  ,0.57
140.25,NA  ,0.5625
141   ,NA  ,0.5325
141.75,NA  ,0.495
142.5 ,NA  ,0.4575
143.25,NA  ,0.405
144   ,NA  ,0.3525
144.75,NA  ,0.3075
145.5 ,NA  ,0.27
146.25,NA  ,0.2325
147   ,NA  ,0.195
147.75,NA  ,0.1575
148.5 ,NA  ,0.1875
149.25,NA  ,0.645
150   ,NA  ,0.9675
150.75,NA  ,0.9675
151.5 ,NA  ,0.8775
152.25,NA  ,0.8175
153   ,NA  ,0.705
153.75,NA  ,0.615
154.5 ,NA  ,0.5925
155.25,NA  ,0.5175
156   ,NA  ,0.4425
156.75,NA  ,0.405
157.5 ,NA  ,0.4275
158.25,NA  ,0.4275
159   ,NA  ,0.42
159.75,NA  ,0.39
160.5 ,NA  ,0.3525
161.25,NA  ,0.3075
162   ,NA  ,0.27
162.75,NA  ,0.2325
163.5 ,NA  ,0.5025
164.25,NA  ,0.915
165   ,NA  ,1.0275
165.75,NA  ,0.9375
166.5 ,NA  ,0.8175
167.25,NA  ,0.795
168   ,NA  ,0.81
168.75,NA  ,0.7875
169.5 ,NA  ,0.7725
170.25,NA  ,0.6825
171   ,NA  ,0.5475
171.75,NA  ,0.435
172.5 ,NA  ,0.42
173.25,NA  ,0.5025
174   ,NA  ,0.45
174.75,NA  ,0.345
175.5 ,NA  ,0.285
176.25,NA  ,0.2475
177   ,NA  ,0.2475
177.75,NA  ,0.585
178.5 ,NA  ,0.96
179.25,NA  ,1.185
180   ,NA  ,1.3275
180.75,NA  ,1.395
181.5 ,NA  ,1.4025
182.25,NA  ,1.2975
183   ,NA  ,1.1475
183.75,NA  ,0.99
184.5 ,NA  ,0.8325
185.25,NA  ,0.6825
186   ,NA  ,0.57
186.75,NA  ,0.4875
187.5 ,NA  ,0.4125
188.25,NA  ,0.345
189   ,NA  ,0.54
189.75,NA  ,0.57
190.5 ,NA  ,0.5175
191.25,NA  ,0.48
192   ,NA  ,0.5325
192.75,NA  ,0.6
193.5 ,NA  ,0.765
194.25,NA  ,0.8325
195   ,NA  ,0.795
195.75,NA  ,0.825
196.5 ,NA  ,0.84
197.25,NA  ,0.8475
198   ,NA  ,0.87
198.75,NA  ,0.8925
199.5 ,NA  ,0.8925
200.25,NA  ,0.855
201   ,NA  ,0.795
201.75,NA  ,0.705
