id   ,date,hs
0.8  ,NA  ,0.608
1.6  ,NA  ,0.528
2.4  ,NA  ,0.464
3.2  ,NA  ,0.408
4    ,NA  ,0.352
4.8  ,NA  ,0.304
5.6  ,NA  ,0.272
6.4  ,NA  ,0.24
7.2  ,NA  ,0.216
8    ,NA  ,0.192
8.8  ,NA  ,0.168
9.6  ,NA  ,0.152
10.4 ,NA  ,0.144
11.2 ,NA  ,0.144
12   ,NA  ,0.152
12.8 ,NA  ,0.176
13.6 ,NA  ,0.184
14.4 ,NA  ,0.176
15.2 ,NA  ,0.152
16   ,NA  ,0.128
16.8 ,NA  ,0.112
17.6 ,NA  ,0.096
18.4 ,NA  ,0.088
19.2 ,NA  ,0.096
20   ,NA  ,0.12
20.8 ,NA  ,0.144
21.6 ,NA  ,0.232
22.4 ,NA  ,0.544
23.2 ,NA  ,0.632
24   ,NA  ,0.72
24.8 ,NA  ,0.744
25.6 ,NA  ,0.736
26.4 ,NA  ,0.712
27.2 ,NA  ,0.68
28   ,NA  ,0.648
28.8 ,NA  ,0.656
29.6 ,NA  ,0.76
30.4 ,NA  ,0.872
31.2 ,NA  ,0.968
32   ,NA  ,0.912
32.8 ,NA  ,0.784
33.6 ,NA  ,0.696
34.4 ,NA  ,0.616
35.2 ,NA  ,0.52
36   ,NA  ,0.424
36.8 ,NA  ,0.32
37.6 ,NA  ,0.24
38.4 ,NA  ,0.2
39.2 ,NA  ,0.16
40   ,NA  ,0.128
40.8 ,NA  ,0.104
41.6 ,NA  ,0.096
42.4 ,NA  ,0.088
43.2 ,NA  ,0.08
44   ,NA  ,0.064
44.8 ,NA  ,0.056
45.6 ,NA  ,0.048
46.4 ,NA  ,0.04
47.2 ,NA  ,0.04
48   ,NA  ,0.032
48.8 ,NA  ,0.032
49.6 ,NA  ,0.024
50.4 ,NA  ,0.024
51.2 ,NA  ,0.024
52   ,NA  ,0.024
52.8 ,NA  ,0.024
53.6 ,NA  ,0.04
54.4 ,NA  ,0.448
55.2 ,NA  ,0.984
56   ,NA  ,1.328
56.8 ,NA  ,1.56
57.6 ,NA  ,1.528
58.4 ,NA  ,1.384
59.2 ,NA  ,1.272
60   ,NA  ,1.12
60.8 ,NA  ,0.952
61.6 ,NA  ,0.816
62.4 ,NA  ,0.728
63.2 ,NA  ,0.704
64   ,NA  ,0.832
64.8 ,NA  ,1.104
65.6 ,NA  ,1.256
66.4 ,NA  ,1.152
67.2 ,NA  ,1.104
68   ,NA  ,1.08
68.8 ,NA  ,1.032
69.6 ,NA  ,0.976
70.4 ,NA  ,0.904
71.2 ,NA  ,0.824
72   ,NA  ,0.744
72.8 ,NA  ,0.672
73.6 ,NA  ,0.608
74.4 ,NA  ,0.568
75.2 ,NA  ,0.536
76   ,NA  ,0.512
76.8 ,NA  ,0.504
77.6 ,NA  ,0.504
78.4 ,NA  ,0.504
79.2 ,NA  ,0.496
80   ,NA  ,0.48
80.8 ,NA  ,0.456
81.6 ,NA  ,0.432
82.4 ,NA  ,0.408
83.2 ,NA  ,0.376
84   ,NA  ,0.352
84.8 ,NA  ,0.32
85.6 ,NA  ,0.288
86.4 ,NA  ,0.264
87.2 ,NA  ,0.24
88   ,NA  ,0.216
88.8 ,NA  ,0.2
89.6 ,NA  ,0.176
90.4 ,NA  ,0.168
91.2 ,NA  ,0.152
92   ,NA  ,0.144
92.8 ,NA  ,0.128
