id ,date,hs
1  ,NA  ,0.31
2  ,NA  ,0.29
3  ,NA  ,0.27
4  ,NA  ,0.24
5  ,NA  ,0.22
6  ,NA  ,0.21
7  ,NA  ,0.19
8  ,NA  ,0.18
9  ,NA  ,0.16
10 ,NA  ,0.15
11 ,NA  ,0.14
12 ,NA  ,0.13
13 ,NA  ,0.12
14 ,NA  ,0.11
15 ,NA  ,0.1
16 ,NA  ,0.1
17 ,NA  ,0.09
18 ,NA  ,0.09
19 ,NA  ,0.08
20 ,NA  ,0.08
21 ,NA  ,0.08
22 ,NA  ,0.08
23 ,NA  ,0.08
24 ,NA  ,0.11
25 ,NA  ,0.4
26 ,NA  ,0.48
27 ,NA  ,0.51
28 ,NA  ,0.52
29 ,NA  ,0.53
30 ,NA  ,0.48
31 ,NA  ,0.38
32 ,NA  ,0.31
33 ,NA  ,0.23
34 ,NA  ,0.2
35 ,NA  ,0.21
36 ,NA  ,0.21
37 ,NA  ,0.22
38 ,NA  ,0.25
39 ,NA  ,0.37
40 ,NA  ,0.49
41 ,NA  ,0.51
42 ,NA  ,0.5
43 ,NA  ,0.64
44 ,NA  ,0.71
45 ,NA  ,0.57
46 ,NA  ,0.4
47 ,NA  ,0.29
48 ,NA  ,0.22
49 ,NA  ,0.17
50 ,NA  ,0.13
51 ,NA  ,0.11
52 ,NA  ,0.09
53 ,NA  ,0.08
54 ,NA  ,0.07
55 ,NA  ,0.06
56 ,NA  ,0.05
57 ,NA  ,0.05
58 ,NA  ,0.04
59 ,NA  ,0.04
60 ,NA  ,0.03
61 ,NA  ,0.03
62 ,NA  ,0.04
63 ,NA  ,0.07
64 ,NA  ,0.19
65 ,NA  ,0.22
66 ,NA  ,0.14
67 ,NA  ,0.7
68 ,NA  ,1.12
69 ,NA  ,1.29
70 ,NA  ,1.41
71 ,NA  ,1.39
72 ,NA  ,1.35
73 ,NA  ,1.15
74 ,NA  ,1.02
75 ,NA  ,0.92
76 ,NA  ,0.74
77 ,NA  ,0.69
78 ,NA  ,0.74
79 ,NA  ,0.74
80 ,NA  ,0.84
81 ,NA  ,1.08
82 ,NA  ,1.13
83 ,NA  ,0.94
84 ,NA  ,0.79
85 ,NA  ,0.73
86 ,NA  ,0.69
87 ,NA  ,0.67
88 ,NA  ,0.61
89 ,NA  ,0.55
