id ,date,hs
1  ,NA  ,1.03
2  ,NA  ,0.88
3  ,NA  ,0.74
4  ,NA  ,0.63
5  ,NA  ,0.53
6  ,NA  ,0.45
7  ,NA  ,0.39
8  ,NA  ,0.34
9  ,NA  ,0.29
10 ,NA  ,0.25
11 ,NA  ,0.21
12 ,NA  ,0.18
13 ,NA  ,0.17
14 ,NA  ,0.18
15 ,NA  ,0.22
16 ,NA  ,0.42
17 ,NA  ,0.4
18 ,NA  ,0.36
19 ,NA  ,0.34
20 ,NA  ,0.3
21 ,NA  ,0.26
22 ,NA  ,0.26
23 ,NA  ,0.29
24 ,NA  ,0.28
25 ,NA  ,0.24
26 ,NA  ,0.21
27 ,NA  ,0.18
28 ,NA  ,0.16
29 ,NA  ,0.15
30 ,NA  ,0.16
31 ,NA  ,0.59
32 ,NA  ,0.63
33 ,NA  ,0.66
34 ,NA  ,0.66
35 ,NA  ,0.64
36 ,NA  ,0.67
37 ,NA  ,0.72
38 ,NA  ,0.75
39 ,NA  ,0.7
40 ,NA  ,0.62
41 ,NA  ,0.56
42 ,NA  ,0.44
43 ,NA  ,0.38
44 ,NA  ,0.48
45 ,NA  ,0.44
46 ,NA  ,0.32
47 ,NA  ,0.31
48 ,NA  ,0.32
49 ,NA  ,0.32
50 ,NA  ,0.31
51 ,NA  ,0.32
52 ,NA  ,0.28
53 ,NA  ,0.22
54 ,NA  ,0.18
55 ,NA  ,0.15
56 ,NA  ,0.13
57 ,NA  ,0.11
58 ,NA  ,0.09
59 ,NA  ,0.07
60 ,NA  ,0.06
61 ,NA  ,0.05
62 ,NA  ,0.04
63 ,NA  ,0.04
64 ,NA  ,0.04
65 ,NA  ,0.04
66 ,NA  ,0.04
67 ,NA  ,0.05
68 ,NA  ,0.08
69 ,NA  ,0.16
70 ,NA  ,0.62
71 ,NA  ,0.86
72 ,NA  ,1.43
73 ,NA  ,1.73
74 ,NA  ,1.75
75 ,NA  ,1.66
76 ,NA  ,1.49
77 ,NA  ,1.32
78 ,NA  ,1.14
79 ,NA  ,0.95
80 ,NA  ,0.8
81 ,NA  ,0.95
82 ,NA  ,1.23
83 ,NA  ,1.37
84 ,NA  ,1.58
85 ,NA  ,1.78
86 ,NA  ,1.83
87 ,NA  ,1.77
88 ,NA  ,1.7
89 ,NA  ,1.62
90 ,NA  ,1.49
91 ,NA  ,1.38
92 ,NA  ,1.3
93 ,NA  ,1.21
94 ,NA  ,1.14
95 ,NA  ,1.08
96 ,NA  ,1.05
97 ,NA  ,1.02
98 ,NA  ,1
99 ,NA  ,0.98
100,NA  ,0.95
101,NA  ,0.89
102,NA  ,0.82
103,NA  ,0.75
104,NA  ,0.68
105,NA  ,0.6
106,NA  ,0.52
107,NA  ,0.45
108,NA  ,0.39
109,NA  ,0.34
110,NA  ,0.3
111,NA  ,0.26
112,NA  ,0.24
113,NA  ,0.21
114,NA  ,0.19
115,NA  ,0.17
116,NA  ,0.16
117,NA  ,0.14
118,NA  ,0.13
119,NA  ,0.11
120,NA  ,0.1
121,NA  ,0.09
122,NA  ,0.08
123,NA  ,0.07
124,NA  ,0.07
125,NA  ,0.07
126,NA  ,0.15
127,NA  ,0.35
128,NA  ,0.45
129,NA  ,0.76
130,NA  ,0.77
131,NA  ,0.8
132,NA  ,0.79
133,NA  ,0.74
134,NA  ,0.65
135,NA  ,0.56
136,NA  ,0.47
137,NA  ,0.39
138,NA  ,0.32
139,NA  ,0.26
140,NA  ,0.21
141,NA  ,0.17
142,NA  ,0.16
143,NA  ,0.52
144,NA  ,0.69
145,NA  ,0.79
146,NA  ,0.85
147,NA  ,0.89
