id   ,date,hs
1.2  ,NA  ,0.216
2.4  ,NA  ,0.216
3.6  ,NA  ,0.204
4.8  ,NA  ,0.204
6    ,NA  ,0.204
7.2  ,NA  ,0.204
8.4  ,NA  ,0.192
9.6  ,NA  ,0.192
10.8 ,NA  ,0.192
12   ,NA  ,0.192
13.2 ,NA  ,0.192
14.4 ,NA  ,0.192
15.6 ,NA  ,0.192
16.8 ,NA  ,0.192
18   ,NA  ,0.192
19.2 ,NA  ,0.192
20.4 ,NA  ,0.192
21.6 ,NA  ,0.192
22.8 ,NA  ,0.192
24   ,NA  ,0.192
25.2 ,NA  ,0.192
26.4 ,NA  ,0.192
27.6 ,NA  ,0.192
28.8 ,NA  ,0.192
30   ,NA  ,0.192
31.2 ,NA  ,0.204
32.4 ,NA  ,0.492
33.6 ,NA  ,0.504
34.8 ,NA  ,0.564
36   ,NA  ,0.612
37.2 ,NA  ,0.54
38.4 ,NA  ,0.408
39.6 ,NA  ,0.348
40.8 ,NA  ,0.3
42   ,NA  ,0.312
43.2 ,NA  ,0.324
44.4 ,NA  ,0.252
45.6 ,NA  ,0.264
46.8 ,NA  ,0.288
48   ,NA  ,0.36
49.2 ,NA  ,0.432
50.4 ,NA  ,0.444
51.6 ,NA  ,0.564
52.8 ,NA  ,0.648
54   ,NA  ,0.468
55.2 ,NA  ,0.288
56.4 ,NA  ,0.216
57.6 ,NA  ,0.204
58.8 ,NA  ,0.192
60   ,NA  ,0.192
61.2 ,NA  ,0.192
62.4 ,NA  ,0.192
63.6 ,NA  ,0.192
64.8 ,NA  ,0.192
66   ,NA  ,0.192
67.2 ,NA  ,0.192
68.4 ,NA  ,0.192
69.6 ,NA  ,0.18
70.8 ,NA  ,0.18
72   ,NA  ,0.18
73.2 ,NA  ,0.18
74.4 ,NA  ,0.18
75.6 ,NA  ,0.192
76.8 ,NA  ,0.192
78   ,NA  ,0.192
79.2 ,NA  ,0.192
80.4 ,NA  ,0.192
81.6 ,NA  ,0.252
82.8 ,NA  ,0.372
84   ,NA  ,0.528
85.2 ,NA  ,0.612
86.4 ,NA  ,0.66
87.6 ,NA  ,0.504
88.8 ,NA  ,0.408
90   ,NA  ,0.372
91.2 ,NA  ,0.324
92.4 ,NA  ,0.252
93.6 ,NA  ,0.228
94.8 ,NA  ,0.216
96   ,NA  ,0.276
97.2 ,NA  ,0.372
98.4 ,NA  ,0.36
99.6 ,NA  ,0.252
100.8,NA  ,0.24
102  ,NA  ,0.24
103.2,NA  ,0.228
104.4,NA  ,0.228
105.6,NA  ,0.228
106.8,NA  ,0.228
108  ,NA  ,0.228
109.2,NA  ,0.216
110.4,NA  ,0.216
111.6,NA  ,0.216
112.8,NA  ,0.216
114  ,NA  ,0.216
115.2,NA  ,0.216
116.4,NA  ,0.216
117.6,NA  ,0.216
118.8,NA  ,0.216
120  ,NA  ,0.216
121.2,NA  ,0.216
122.4,NA  ,0.216
123.6,NA  ,0.204
