id   ,date,hs
305.5,NA  ,0.468
306.8,NA  ,0.338
308.1,NA  ,0.208
309.4,NA  ,0.221
310.7,NA  ,0.91
312  ,NA  ,1.092
313.3,NA  ,1.183
314.6,NA  ,1.131
315.9,NA  ,1.066
317.2,NA  ,1.014
318.5,NA  ,0.949
319.8,NA  ,0.819
321.1,NA  ,0.676
322.4,NA  ,0.442
323.7,NA  ,0.338
325  ,NA  ,0.312
326.3,NA  ,0.26
327.6,NA  ,0.247
328.9,NA  ,0.78
330.2,NA  ,0.819
331.5,NA  ,0.793
332.8,NA  ,0.741
334.1,NA  ,0.754
335.4,NA  ,0.767
336.7,NA  ,0.819
338  ,NA  ,0.923
339.3,NA  ,0.78
340.6,NA  ,0.624
341.9,NA  ,0.663
343.2,NA  ,0.637
344.5,NA  ,0.65
345.8,NA  ,0.663
347.1,NA  ,0.65
348.4,NA  ,0.676
349.7,NA  ,0.611
