id   ,date,hs
0.9  ,NA  ,0.747
1.8  ,NA  ,0.612
2.7  ,NA  ,0.486
3.6  ,NA  ,0.396
4.5  ,NA  ,0.333
5.4  ,NA  ,0.279
6.3  ,NA  ,0.243
7.2  ,NA  ,0.216
8.1  ,NA  ,0.198
9    ,NA  ,0.189
9.9  ,NA  ,0.171
10.8 ,NA  ,0.171
11.7 ,NA  ,0.162
12.6 ,NA  ,0.162
13.5 ,NA  ,0.153
14.4 ,NA  ,0.153
15.3 ,NA  ,0.153
16.2 ,NA  ,0.153
17.1 ,NA  ,0.144
18   ,NA  ,0.135
18.9 ,NA  ,0.126
19.8 ,NA  ,0.117
20.7 ,NA  ,0.117
21.6 ,NA  ,0.144
22.5 ,NA  ,0.153
23.4 ,NA  ,0.153
24.3 ,NA  ,0.153
25.2 ,NA  ,0.198
26.1 ,NA  ,0.765
27   ,NA  ,1.107
27.9 ,NA  ,1.269
28.8 ,NA  ,1.251
29.7 ,NA  ,1.206
30.6 ,NA  ,1.152
31.5 ,NA  ,1.098
32.4 ,NA  ,1.089
33.3 ,NA  ,1.107
34.2 ,NA  ,1.098
35.1 ,NA  ,1.026
36   ,NA  ,0.927
36.9 ,NA  ,0.774
37.8 ,NA  ,0.603
38.7 ,NA  ,0.468
39.6 ,NA  ,0.378
40.5 ,NA  ,0.288
41.4 ,NA  ,0.225
42.3 ,NA  ,0.189
43.2 ,NA  ,0.144
44.1 ,NA  ,0.117
45   ,NA  ,0.099
45.9 ,NA  ,0.09
46.8 ,NA  ,0.081
47.7 ,NA  ,0.072
48.6 ,NA  ,0.054
49.5 ,NA  ,0.045
50.4 ,NA  ,0.045
51.3 ,NA  ,0.045
52.2 ,NA  ,0.036
53.1 ,NA  ,0.036
54   ,NA  ,0.036
54.9 ,NA  ,0.036
55.8 ,NA  ,0.036
56.7 ,NA  ,0.036
57.6 ,NA  ,0.045
58.5 ,NA  ,0.045
59.4 ,NA  ,0.063
60.3 ,NA  ,0.234
61.2 ,NA  ,0.954
62.1 ,NA  ,1.476
63   ,NA  ,1.737
63.9 ,NA  ,1.881
64.8 ,NA  ,1.899
65.7 ,NA  ,1.728
66.6 ,NA  ,1.539
67.5 ,NA  ,1.341
68.4 ,NA  ,1.179
69.3 ,NA  ,1.107
70.2 ,NA  ,1.269
71.1 ,NA  ,1.386
72   ,NA  ,1.548
72.9 ,NA  ,1.899
73.8 ,NA  ,2.106
74.7 ,NA  ,2.016
75.6 ,NA  ,1.881
76.5 ,NA  ,1.809
77.4 ,NA  ,1.782
78.3 ,NA  ,1.62
79.2 ,NA  ,1.395
80.1 ,NA  ,1.17
81   ,NA  ,0.99
81.9 ,NA  ,0.837
82.8 ,NA  ,0.729
83.7 ,NA  ,0.675
84.6 ,NA  ,0.684
